Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,First Close,YTD Return,Country
2025-04-09,20810.4296875,21211.130859375,20530.4296875,20681.779296875,6611800000,0.0,0.0,^HSI,19623.3203125,5.394,HSI (Hong Kong)
2025-04-10,20557.490234375,21127.369140625,20444.0390625,20914.689453125,5139200000,0.0,0.0,^HSI,19623.3203125,6.581,HSI (Hong Kong)
2025-04-13,21363.880859375,21517.3203125,21224.55078125,21417.400390625,4538300000,0.0,0.0,^HSI,19623.3203125,9.143,HSI (Hong Kong)
2025-04-14,21603.51953125,21603.51953125,21297.58984375,21466.26953125,2942800000,0.0,0.0,^HSI,19623.3203125,9.392,HSI (Hong Kong)
2025-04-15,21316.470703125,21363.5703125,20868.359375,21056.98046875,3441800000,0.0,0.0,^HSI,19623.3203125,7.306,HSI (Hong Kong)
2025-04-16,21066.810546875,21417.640625,21039.16015625,21395.140625,2892800000,0.0,0.0,^HSI,19623.3203125,9.029,HSI (Hong Kong)
2025-04-21,21303.509765625,21592.669921875,21191.01953125,21562.3203125,3883600000,0.0,0.0,^HSI,19623.3203125,9.881,HSI (Hong Kong)
2025-04-22,22080.189453125,22138.810546875,21862.869140625,22072.619140625,3585300000,0.0,0.0,^HSI,19623.3203125,12.482,HSI (Hong Kong)
2025-04-23,22030.150390625,22093.6796875,21712.099609375,21909.759765625,2985800000,0.0,0.0,^HSI,19623.3203125,11.652,HSI (Hong Kong)
2025-04-24,22080.439453125,22267.9609375,21923.900390625,21980.740234375,3025700000,0.0,0.0,^HSI,19623.3203125,12.013,HSI (Hong Kong)
2025-04-27,22072.349609375,22072.349609375,21817.849609375,21971.9609375,2466000000,0.0,0.0,^HSI,19623.3203125,11.969,HSI (Hong Kong)
2025-04-28,22073.359375,22213.509765625,21918.099609375,22008.109375,3045200000,0.0,0.0,^HSI,19623.3203125,12.153,HSI (Hong Kong)
2025-04-29,22038.73046875,22129.310546875,21848.330078125,22119.41015625,4682300000,0.0,0.0,^HSI,19623.3203125,12.72,HSI (Hong Kong)
2025-05-01,22192.509765625,22532.5390625,22058.30078125,22504.6796875,1831000000,0.0,0.0,^HSI,19623.3203125,14.683,HSI (Hong Kong)
2025-05-05,22576.560546875,22747.630859375,22449.16015625,22662.7109375,3317400000,0.0,0.0,^HSI,19623.3203125,15.489,HSI (Hong Kong)
2025-05-06,23169.830078125,23197.5703125,22691.880859375,22691.880859375,3694100000,0.0,0.0,^HSI,19623.3203125,15.637,HSI (Hong Kong)
2025-05-07,22589.130859375,22979.2890625,22589.130859375,22775.919921875,2773700000,0.0,0.0,^HSI,19623.3203125,16.066,HSI (Hong Kong)
2025-05-08,22856.2109375,22907.91015625,22692.439453125,22867.740234375,2635900000,0.0,0.0,^HSI,19623.3203125,16.533,HSI (Hong Kong)
2025-05-11,23183.810546875,23685.33984375,22982.91015625,23549.4609375,5161400000,0.0,0.0,^HSI,19623.3203125,20.008,HSI (Hong Kong)
2025-05-12,23494.439453125,23494.439453125,23070.48046875,23108.26953125,3475900000,0.0,0.0,^HSI,19623.3203125,17.759,HSI (Hong Kong)
2025-05-13,23316.44921875,23640.650390625,23278.220703125,23640.650390625,3742900000,0.0,0.0,^HSI,19623.3203125,20.472,HSI (Hong Kong)
2025-05-14,23644.400390625,23710.8203125,23371.73046875,23453.16015625,2887600000,0.0,0.0,^HSI,19623.3203125,19.517,HSI (Hong Kong)
2025-05-15,23249.16015625,23374.69921875,23190.310546875,23345.05078125,2759500000,0.0,0.0,^HSI,19623.3203125,18.966,HSI (Hong Kong)
2025-05-18,23156.26953125,23402.19921875,23059.890625,23332.720703125,2814000000,0.0,0.0,^HSI,19623.3203125,18.903,HSI (Hong Kong)
2025-05-19,23398.349609375,23709.0390625,23357.0,23681.48046875,3290600000,0.0,0.0,^HSI,19623.3203125,20.68,HSI (Hong Kong)
